,Title,Published_date,Views,Comments,Likes,Month
41,The Future of Entertainment: People React to ‘Le Musk’ | A. R. Rahman,2022-06-08,83212,174,3937,Jun
42,My Pain | A.R. Rahman | Dana Dajani | Gouri Viravalli | Firdaus Sessions - Expo 2020 Dubai,2022-05-26,62607,167,2821,May
43,All-Access AR Rahman Tour | North America Tour 2022 | PROMO,2022-04-30,66792,98,2202,Apr
44,All Access | North America Tour 2022 | A. R. Rahman | #Shorts,2022-04-27,186381,77,11564,Apr
45,North America Tour | All Access @ARRahman,2022-04-15,44823,105,1884,Apr
46,Thamarai's Interview - Moopilla Thamizhe Thaaye | A. R. Rahman | (Tamil Anthem),2022-04-01,150684,549,6939,Apr
47,Dafa Kar -  Heropanti 2 | Tiger Shroff | Tara Sutaria | Nawazuddin Siddiqui  @ARRahman #Shorts,2022-03-26,141557,106,8070,Mar
48,A. R. Rahman X NFT | Vignesh | HBAR Foundation,2022-03-03,26969,44,1011,Mar
49,A. R. Rahman X NFT | Alex Russman | HBAR Foundation,2022-03-03,22625,60,1028,Mar
50,Untold Stories | Firdaus Sessions - Expo 2020 Dubai | @ARRahman  | Seeta Qasemi,2022-02-17,98325,225,3488,Feb
51,Tribute to Lata Mangeshkar Ji | @ARRahman,2022-02-06,978707,990,37015,Feb
52,Firdaus Studio Sessions -  Expo 2020 Dubai   | A.R. Rahman | Nirmika Singh,2022-02-05,41430,124,1857,Feb
53,Why? The Musical | Catch The Breeze,2022-02-04,50014,172,2434,Feb
54,Firdaus Sessions - Expo 2020 Dubai | A.R. Rahman | Dana Dajani,2022-02-02,67099,211,3360,Feb
55,Why? The Musical | Time and Space,2022-01-31,70298,285,3922,Jan
56,Param Sundari - 500 Million Views and counting! #Shorts,2022-01-17,120982,100,5680,Jan
57,Why? The Musical | Dance Of The Atoms,2022-01-08,177818,603,9566,Jan
58,Special Birthday Wishes From @Firdaus_Orchestra #Shorts,2022-01-07,192573,167,11796,Jan
59,In conversation with A. R. Rahman | #AMAwithARR,2022-01-06,135858,624,6885,Jan
60,Why? The Musical | BANG!,2022-01-03,60598,285,2895,Jan
61,Expo 2020 Dubai Presents Shekhar Kapur and A.R. Rahman’s Why? The Musical | Why Why Why,2021-12-29,68515,204,3133,Dec
62,Little Little Song | Atrangi Re | Out Now  #Shorts,2021-12-20,508090,114,28238,Dec
63,"Garda Song Out Now | Atrangi Re | A. R. Rahman | Akshay K, Sara A K, Dhanush, Daler M | #Shorts",2021-12-15,115979,45,5444,Dec
64,Atrangi Re Album Launch | A Musical Night with A.R. Rahman,2021-12-06,356338,449,16925,Dec
65,Farishton Live @theExpoCityDubai  | @KhatijaRahman & Firdaus Orchestra | @ARRahman,2021-11-22,1964373,4611,67190,Nov
66,"Ship Of Human Endeavour | Shekhar Kapur, A. R. Rahman| Artist In Motion |Expo 2020 Dubai | #Shorts",2021-11-17,66299,48,2559,Nov
67,"‘Rockstar’ Reunion | A.R. Rahman, Ranbir Kapoor, Imtiaz Ali and More #10YearsOfRockstar",2021-11-11,335832,1384,19616,Nov
68,Humanitas-Proorismós-Al Amal | @ARRahman | Firdaus Orchestra,2021-10-20,52320,317,3506,Oct
69,Sai Shirdi Sai - Kannada Version | @ARRahman | Jonita Gandhi | 99 Songs | ಸಾಯಿ ಶಿರಡಿ ಸಾಯಿ,2021-10-15,257053,4507,11226,Oct
70,Expo 2020 Dubai and A.R. Rahman Present Firdaus Orchestra,2021-09-22,418748,541,12670,Sep
71,A.R. Rahman Meets the Top 15 Musicians | #99SongsCoverStar Contest,2021-06-04,143972,237,5790,Jun
72,99 Songs Arrives on Netflix This May | Trailer (Hindi) | A.R. Rahman’s Musical Masterpiece,2021-05-19,104310,249,3819,May
